"bin","mean_prediction","observed_rate","trials","scenario","model"
9,0.570128287766397,0.569444444444444,1440,"C","input"
10,0.647932540973201,0.656944444444444,1440,"C","input"
1,0.345587837864224,0.35,1440,"C","conditional"
2,0.386566691091879,0.3625,1440,"C","conditional"
3,0.40847717701375,0.405555555555556,1440,"C","conditional"
4,0.438867725820456,0.440972222222222,1440,"C","conditional"
5,0.456966652993753,0.438194444444444,1440,"C","conditional"
6,0.476836671516006,0.465277777777778,1440,"C","conditional"
7,0.503823066043414,0.490277777777778,1440,"C","conditional"
8,0.531960957922617,0.534027777777778,1440,"C","conditional"
9,0.572055869742434,0.572916666666667,1440,"C","conditional"
10,0.647646283933639,0.656944444444444,1440,"C","conditional"
1,0.335745342747554,0.336805555555556,1440,"C","decomposition"
2,0.381979433599154,0.38125,1440,"C","decomposition"
3,0.408702177560655,0.400694444444444,1440,"C","decomposition"
4,0.440160125687704,0.424305555555556,1440,"C","decomposition"
5,0.462593593336175,0.45625,1440,"C","decomposition"
6,0.485620484103214,0.458333333333333,1440,"C","decomposition"
7,0.505224444791021,0.490972222222222,1440,"C","decomposition"
8,0.535997984778783,0.547916666666667,1440,"C","decomposition"
9,0.568669523070138,0.563194444444444,1440,"C","decomposition"
10,0.653237387871744,0.656944444444444,1440,"C","decomposition"
1,0.356619361605255,0.356944444444444,1440,"D","input"
2,0.401148887212522,0.418055555555556,1440,"D","input"
3,0.434541195856375,0.432638888888889,1440,"D","input"
4,0.46229130839749,0.45,1440,"D","input"
5,0.490468681371271,0.485416666666667,1440,"D","input"
6,0.510690778757005,0.531944444444444,1440,"D","input"
7,0.533142880126864,0.51875,1440,"D","input"
8,0.555121450081525,0.561805555555556,1440,"D","input"
9,0.589734278267819,0.585416666666667,1440,"D","input"
10,0.643993703071524,0.663194444444444,1440,"D","input"
1,0.362282117395821,0.351388888888889,1440,"D","conditional"
2,0.404261758657341,0.418055555555556,1440,"D","conditional"
3,0.43443938782416,0.436805555555556,1440,"D","conditional"
4,0.463132395892958,0.451388888888889,1440,"D","conditional"
5,0.492943144701428,0.481944444444444,1440,"D","conditional"
6,0.514065356685938,0.534027777777778,1440,"D","conditional"
7,0.534737922465935,0.517361111111111,1440,"D","conditional"
8,0.555608368443822,0.564583333333333,1440,"D","conditional"
9,0.589020180262642,0.579166666666667,1440,"D","conditional"
10,0.64286096821336,0.669444444444444,1440,"D","conditional"
1,0.358417216891834,0.348611111111111,1440,"D","decomposition"
2,0.408558374567421,0.417361111111111,1440,"D","decomposition"
3,0.431977565961918,0.434722222222222,1440,"D","decomposition"
4,0.463742718688838,0.451388888888889,1440,"D","decomposition"
5,0.492814961690603,0.501388888888889,1440,"D","decomposition"
6,0.516460169963343,0.516666666666667,1440,"D","decomposition"
7,0.532841186767924,0.519444444444444,1440,"D","decomposition"
8,0.558049745260631,0.565972222222222,1440,"D","decomposition"
9,0.592714234545073,0.595138888888889,1440,"D","decomposition"
10,0.645508903437765,0.653472222222222,1440,"D","decomposition"
